name,B cells,Monocytes,NK cells,T cells
B cells_PB319,0.17379214,0.2301126,0.21276446,0.19136195
NK cells_PB320,0.19856307,0.2034808,0.20806116,0.19787611
NK cells_PB321,0.17388137,0.21975708,0.22121623,0.19829604
Monocytes_PB322,0.1695907,0.26454154,0.20068938,0.16389336
B cells_PB323,0.23011506,0.19652362,0.18976967,0.19295064
B cells_PB324,0.17817162,0.2296636,0.2056187,0.19616514
NK cells_PB325,0.18758434,0.19318563,0.2386518,0.1872977
Monocytes_PB326,0.18161434,0.2502269,0.20426734,0.16607912
B cells_PB327,0.2068346,0.19520044,0.20602137,0.2018471
Monocytes_PB328,0.16396172,0.25590384,0.2027618,0.17713644
B cells_PB329,0.2080876,0.21599744,0.20421377,0.18603483
NK cells_PB330,0.18704991,0.22922586,0.20708899,0.18521287
T cells_PB331,0.17457987,0.22797279,0.21125682,0.19678694
T cells_PB332,0.2029755,0.20074756,0.20394795,0.20536537
NK cells_PB333,0.20320879,0.21758623,0.20077129,0.18292637
B cells_PB334,0.1664884,0.24059692,0.20939739,0.19094904
NK cells_PB335,0.2111644,0.21783498,0.19134173,0.18646455
T cells_PB336,0.19469617,0.22547495,0.21060653,0.17939243
Monocytes_PB337,0.17818113,0.27375683,0.18258911,0.15910825
NK cells_PB338,0.17619346,0.21092373,0.23511,0.17532094
B cells_PB339,0.20082544,0.19783308,0.2080332,0.20259431
NK cells_PB340,0.19770154,0.20330536,0.20821908,0.20212576
T cells_PB341,0.19699454,0.20103458,0.20778134,0.20814398
Monocytes_PB342,0.16879101,0.24287577,0.2117162,0.17893185
NK cells_PB343,0.20244598,0.20288533,0.2074787,0.1977994
T cells_PB344,0.17334983,0.23062533,0.2098702,0.19489756
B cells_PB345,0.20196779,0.1970217,0.21251048,0.19549692
T cells_PB346,0.19329457,0.1966401,0.20928586,0.21141045
NK cells_PB347,0.1883621,0.20169592,0.23427555,0.18492772
NK cells_PB348,0.19671911,0.23314635,0.20037808,0.17824078
T cells_PB349,0.1928766,0.19982937,0.20642981,0.2019673
NK cells_PB350,0.16955085,0.2290625,0.2210649,0.18808104
Monocytes_PB351,0.16663547,0.24723302,0.21597677,0.17442356
T cells_PB352,0.1853155,0.18924269,0.2096948,0.22595459
Monocytes_PB353,0.16090877,0.26143974,0.1993445,0.1719643
Monocytes_PB354,0.19333737,0.20359387,0.20846091,0.2033592
Monocytes_PB355,0.20579472,0.19543862,0.20971623,0.19767404
NK cells_PB356,0.19072236,0.1933774,0.23827508,0.18185888
Monocytes_PB357,0.20446056,0.19802643,0.21036673,0.20146015
Monocytes_PB358,0.16203576,0.26413724,0.19500238,0.17767045
T cells_PB359,0.18903035,0.17597605,0.20952299,0.23499021
T cells_PB360,0.18212746,0.21322769,0.2226634,0.19436122
NK cells_PB361,0.17501491,0.2234098,0.21794266,0.19422589
B cells_PB362,0.23610146,0.20425422,0.18472704,0.18059902
Monocytes_PB363,0.17413907,0.24741712,0.21174377,0.16699353
NK cells_PB364,0.1986168,0.19535425,0.21629393,0.20393236
Monocytes_PB365,0.16677502,0.27498507,0.19561145,0.15687594
T cells_PB366,0.20529301,0.19845252,0.20649861,0.20168291
T cells_PB367,0.17596819,0.18315929,0.21659768,0.23276581
T cells_PB368,0.19709416,0.19850947,0.20427743,0.21121663
B cells_PB369,0.19734783,0.22018886,0.21482308,0.17862572
T cells_PB370,0.18511103,0.22457598,0.21184173,0.18794687
Monocytes_PB371,0.19415578,0.20287526,0.20832774,0.2022968
NK cells_PB372,0.18405125,0.21691573,0.212064,0.1926929
T cells_PB373,0.18610884,0.2252539,0.21539378,0.184688
Monocytes_PB374,0.17491345,0.25779995,0.19288024,0.17289357
Monocytes_PB375,0.20523937,0.19671322,0.21102591,0.19791344
B cells_PB376,0.20526655,0.19686958,0.20719649,0.20244507
NK cells_PB377,0.17993182,0.20192848,0.24031898,0.18585531
Monocytes_PB378,0.21030007,0.17188306,0.2172178,0.20678543
T cells_PB379,0.19732502,0.19551158,0.21423736,0.20915835
B cells_PB380,0.16941047,0.23325463,0.20848417,0.19631608
B cells_PB381,0.16729675,0.22969313,0.21793805,0.19404553
T cells_PB382,0.1765463,0.19237307,0.22568391,0.21519515
T cells_PB383,0.17866111,0.21510355,0.20960571,0.20982216
Monocytes_PB384,0.16959034,0.27086133,0.19678573,0.15378343
T cells_PB385,0.17372312,0.21047424,0.21428853,0.21245003
T cells_PB386,0.17517515,0.20470853,0.21303026,0.21817027
B cells_PB387,0.18801871,0.20643064,0.222784,0.19217367
Monocytes_PB388,0.17998064,0.22880492,0.20785655,0.19353391
NK cells_PB389,0.16544957,0.20217122,0.24954359,0.1872599
B cells_PB390,0.23768443,0.18665443,0.1988425,0.18782456
NK cells_PB391,0.16918054,0.1868831,0.25119415,0.19496201
NK cells_PB392,0.17393172,0.23280352,0.21142368,0.1905922
NK cells_PB393,0.200411,0.20044026,0.21012157,0.20105548
Monocytes_PB394,0.14773767,0.28253213,0.19875848,0.15844795
NK cells_PB395,0.17954399,0.23066281,0.21229789,0.18621282
B cells_PB396,0.24939427,0.18413252,0.18636833,0.18432584
NK cells_PB397,0.17471793,0.1998234,0.24401501,0.18320477
T cells_PB398,0.20094536,0.21625815,0.208844,0.1807448
NK cells_PB399,0.19924487,0.16724579,0.2337004,0.20690526
Monocytes_PB400,0.17361657,0.26351202,0.19161221,0.16817006
B cells_PB401,0.1755147,0.22926933,0.21054222,0.19483866
NK cells_PB402,0.17488866,0.20090799,0.22884865,0.20305428
T cells_PB403,0.19870415,0.19879651,0.20755303,0.20468023
Monocytes_PB404,0.1684981,0.26615554,0.19818404,0.164444
NK cells_PB405,0.17726934,0.22030377,0.22081907,0.19095413
Monocytes_PB406,0.15055434,0.281132,0.20010872,0.15376292
Monocytes_PB407,0.1775278,0.24186058,0.2092069,0.17950892
T cells_PB408,0.18274024,0.23248488,0.21582024,0.17707236
B cells_PB409,0.24821308,0.19324355,0.18249515,0.17824818
Monocytes_PB410,0.20396873,0.19775791,0.22430052,0.18048254
B cells_PB411,0.19028684,0.22002736,0.20559675,0.19248861
Monocytes_PB412,0.1623276,0.2783552,0.18849887,0.15890718
Monocytes_PB413,0.14491597,0.2924418,0.1894399,0.1547439
Monocytes_PB414,0.16983293,0.24781659,0.21082886,0.17373209
B cells_PB415,0.22756003,0.17499396,0.21028341,0.19081922
T cells_PB416,0.18618234,0.21901727,0.20739715,0.20332651
NK cells_PB417,0.16796799,0.23118591,0.2229825,0.18505056
Monocytes_PB418,0.19735146,0.20072803,0.20450677,0.19910899
NK cells_PB419,0.20170845,0.1805812,0.23127782,0.18990819
Monocytes_PB420,0.18108523,0.26718625,0.19210647,0.15330395
T cells_PB421,0.20242636,0.19438802,0.20773913,0.20964578
T cells_PB422,0.20026852,0.19111776,0.20950864,0.21133082
B cells_PB423,0.18114474,0.22586258,0.210105,0.1939837
NK cells_PB424,0.17478372,0.21359324,0.2215561,0.19860624
T cells_PB425,0.2109001,0.21338964,0.20486005,0.1745201
T cells_PB426,0.18213472,0.2193182,0.20318279,0.20736066
