name,B cells,DC,HSC,Monocytes,NK cells,T cells
Monocytes_PB210,0.24739438806414782,0.15113067757080664,0.07279130338337186,0.26342302239697674,0.01677396025370168,0.24848664833099524
Monocytes_PB211,0.283138505675929,0.06596911139310312,0.08516294604264549,0.5657294368883223,0.0,0.0
Monocytes_PB212,0.0,0.13048717160393233,0.10974173724718417,0.6323147221191198,0.12745636902976368,0.0
DC_PB213,0.0,0.7558013491460865,0.02804815860680096,0.0790707387931522,0.1370797534539602,0.0
NK cells_PB214,0.23956470368510177,0.1383871098975644,0.08779510286535462,0.24419636842447148,0.2900567151275077,0.0
Monocytes_PB215,0.0,0.025367265253198504,0.10724473903183286,0.5971958538226154,0.27019214189235324,0.0
DC_PB216,0.277608065539048,0.2774163341641567,0.04350912014995056,0.31148605290853776,0.08998042723830693,0.0
NK cells_PB217,0.44718403895145625,0.021537622213286856,0.08980269265023515,0.0,0.44147564618502183,0.0
B cells_PB218,0.7536887609561866,0.09272245802660112,0.11516567633658967,0.038423104680622565,0.0,0.0
NK cells_PB219,0.0334165795671745,0.1302471113751532,0.1141220621097255,0.25591895763927713,0.4662952893086698,0.0
NK cells_PB220,0.05011165897119791,0.01914012544843551,0.12274810204534575,0.2739396215836339,0.5340604919513869,0.0
B cells_PB221,0.7547906060305339,0.050601203100525495,0.12844898160622903,0.06615920926271154,0.0,0.0
B cells_PB222,0.7177607293572182,0.0,0.21441219908269687,0.061742980884113195,0.00608409067597151,0.0
HSC_PB223,0.19483500995522654,0.07633434999670478,0.4286310441829775,0.21642477212629505,0.0016611396749404892,0.08211368406385566
NK cells_PB224,0.17941917107775973,0.24834562858433873,0.11640449801706526,0.10651385968786332,0.349316842632973,0.0
Monocytes_PB225,0.04804041212877165,0.13691924214189805,0.10763061203749552,0.4910342207267607,0.0292957366494868,0.1870797763155872
T cells_PB226,0.12088611688168867,0.2224430461703978,0.1660855665475133,0.4905852704004003,0.0,0.0
DC_PB227,0.033928708089685455,0.8424835021757565,0.05405990281124484,0.03549997929112245,0.034027907632190935,0.0
DC_PB228,0.012847526875705478,0.5066378543005667,0.048313758978051714,0.25581029762673557,0.0688399894434019,0.10755057277553853
HSC_PB229,0.03785932503774999,0.0,0.8553930733082468,0.0,0.05396969892699491,0.05277790272700844
NK cells_PB230,0.026000151371155526,0.046621935409517326,0.046614230299233804,0.16182479341776337,0.47908984772626484,0.2398490417760652
T cells_PB231,0.08906198446989826,0.0,0.10546660843687601,0.4219308923128591,0.04137973290401264,0.34216078187635407
B cells_PB232,0.7350045985545135,0.03162955702715154,0.08797760343414372,0.08642335711626124,0.007705621665602592,0.05125926220232737
DC_PB233,0.004847499626362749,0.557946689518899,0.021141650578252593,0.2708406766390855,0.018161757452359286,0.12706172618504083
HSC_PB234,0.009331344751111598,0.10835926211939584,0.6258481975249415,0.2318341834225279,0.006151785503022508,0.018475226679000586
NK cells_PB235,0.38438209807921175,0.0,0.10731492269142674,0.1725168023562193,0.31242878032349974,0.02335739654964252
T cells_PB236,0.05814006809899258,0.14341874174542066,0.0825499465914638,0.43322293056988903,0.09121248796208366,0.19145582503215033
B cells_PB237,0.572083181132828,0.02075558556630639,0.1077090831054474,0.24900484679373375,0.038159017875122936,0.01228828552656154
Monocytes_PB238,0.4073195882520891,0.01650090865186842,0.13364152630533851,0.05125238357048023,0.0,0.3912855932202238
HSC_PB239,0.0864131795425352,0.0,0.646496786638341,0.14756606128891908,0.0,0.1195239725302049
Monocytes_PB240,0.2757839895802541,0.034539901409551314,0.10195540137176264,0.2954279465734049,0.14759591207766024,0.14469684898736704
HSC_PB241,0.04382452993392984,0.026076684226472427,0.7584685667259162,0.11497563561847784,0.04629635950179437,0.010358223993409377
HSC_PB242,0.04702775581222788,0.0,0.8836445803062866,0.0,0.0,0.06932766388148542
DC_PB243,0.01949924631494387,0.8687872346974451,0.049367184858136355,0.0,0.05125573841036471,0.011090595719109898
