,B cells,DC,HSC,Monocytes,NK cells,T cells
B cells_PB109,0.1734525936587313,0.129606985162417,0.37971559930442994,0.0034275597716213555,0.0,0.3137972621028004
HSC_PB110,0.1866644684810055,0.0737779674220063,0.5482051015731344,0.0,0.0,0.1913524625238538
T cells_PB111,0.0,0.13409308245340065,0.4207143962718537,0.22332015512890913,0.0,0.22187236614583652
HSC_PB112,0.06678694276912744,0.17673707827338037,0.5252078545881693,0.0,0.0,0.23126812436932287
B cells_PB113,0.6969447791589702,0.0,0.30305522084102976,0.0,0.0,0.0
Monocytes_PB114,0.0,0.13947902862897088,0.31941820646397234,0.44512706713630734,0.0,0.09597569777074945
HSC_PB115,0.0,0.17797393562105543,0.6846456861737784,0.03515931440005084,0.010713539466626688,0.0915075243384886
T cells_PB116,0.0,0.028069023357585966,0.3744289247539254,0.0,0.0,0.5975020518884887
T cells_PB117,0.0,0.13748398229133804,0.32795500825390234,0.0,0.0,0.5345610094547597
NK cells_PB118,0.0,0.1383392985447334,0.3436433488239048,0.07814515258955648,0.21258546108774104,0.2272867389540642
NK cells_PB119,0.0,0.0,0.2716321728237562,0.0,0.6119110716998117,0.11645675547643211
HSC_PB120,0.0,0.08738599802109814,0.7427821633009476,0.021377806005926474,0.0,0.14845403267202767
DC_PB121,0.0,0.8136917284942483,0.18630827150575172,0.0,0.0,0.0
B cells_PB122,0.5755909447970786,0.0014525187628043198,0.29238427824770785,0.0,0.006376472040654274,0.12419578615175494
T cells_PB123,0.0,0.1375959274783464,0.34373422282976707,0.29342614923704047,0.0,0.2252437004548461
DC_PB124,0.0,0.4560162029557587,0.31496966749927424,0.02347257781298122,0.0,0.20554155173198593
HSC_PB125,0.029215692751181195,0.14612916438248674,0.5895402078054,0.01985380066765588,0.0,0.2152611343932762
HSC_PB126,0.0,0.0968685081342851,0.653670756979136,0.1414066948478119,0.0,0.10805404003876691
NK cells_PB127,0.0,0.05399852985733603,0.292749045371943,0.0,0.5885934852356816,0.06465893953503943
DC_PB128,0.0,0.8576308628932962,0.14236913710670387,0.0,0.0,0.0
NK cells_PB129,0.0,0.12547447050219154,0.3497408926872986,0.24683222525466683,0.0006021668907304617,0.2773502446651126
T cells_PB130,0.0,0.13773860676385857,0.3531182074623422,0.248950812242152,0.0,0.26019237353164726
Monocytes_PB131,0.022699250462070154,0.16697856596769015,0.31335636737166267,0.33931197147306125,0.0,0.1576538447255158
T cells_PB132,0.0,0.2380916103576143,0.3557770698036091,0.21286924326543472,0.08378377245744911,0.10947830411589284
T cells_PB133,0.06502543109046753,0.18490561903413774,0.34648073775822313,0.20740469324996014,0.010408433618134287,0.18577508524907704
T cells_PB134,0.0,0.23611895333827632,0.31516010329714944,0.20802219432696503,0.0,0.2406987490376093
NK cells_PB135,0.0,0.0,0.29603813814501573,0.0,0.7039618618549842,0.0
T cells_PB136,0.0,0.14783605452704338,0.3515005962098354,0.27486520772048795,0.0,0.2257981415426333
T cells_PB137,0.15217546764721437,0.1799957189460816,0.34371587915573576,0.031092682257889866,0.0,0.29302025199307846
B cells_PB138,0.5967896534906696,0.0,0.34067782756482773,0.0,0.0,0.06253251894450268
HSC_PB139,0.059547573150984544,0.1886959648013851,0.5749734139636858,0.0,0.0,0.17678304808394446
HSC_PB140,0.0044945077522955835,0.038059952069924526,0.8500053027776836,0.0,0.003740460230994526,0.10369977716910178
NK cells_PB141,0.0,0.0,0.2574308710020583,0.0,0.6429305008033864,0.09963862819455524
Monocytes_PB142,0.0,0.31257239266886144,0.33556713286595014,0.06131938127357995,0.019588413860424127,0.27095267933118433
HSC_PB143,0.0,0.09622360593222673,0.7391357633893084,0.0,0.0,0.16464063067846488
DC_PB144,0.0,0.6084424944028592,0.2802214163409774,0.0,0.0,0.11133608925616331
T cells_PB145,0.0,0.13366143223368854,0.3435702917826779,0.32437553014198667,0.0,0.1983927458416469
Monocytes_PB146,0.0,0.0,0.3448488135007331,0.0,0.0,0.6551511864992668
Monocytes_PB147,0.0,0.12980278304560455,0.3444459276200524,0.2405833151683096,0.0,0.2851679741660334
DC_PB148,0.0,0.7812055056156816,0.2128508065339268,0.0059436878503917,0.0,0.0
NK cells_PB149,0.0,0.2774897923122026,0.3420237704425286,0.014106556419658939,0.06895147092171663,0.2974284099038933
Monocytes_PB150,0.0,0.2134154717084066,0.34456399099796364,0.06064115794532814,0.0,0.38137937934830163
T cells_PB151,0.0,0.0962378094045134,0.3725191508405727,0.0,0.0,0.5312430397549139
NK cells_PB152,0.0,0.1337440760683729,0.3603965967036912,0.0,0.18978721283507854,0.31607211439285743
HSC_PB153,0.0,0.1243141099733814,0.5316503220132256,0.13888044648091433,0.0,0.20515512153247864
T cells_PB154,0.05894592896633248,0.1941945309280577,0.36697263833518573,0.08393441924315523,0.0,0.29595248252726897
Monocytes_PB155,0.0,0.017718209779441114,0.31317828523790947,0.5709937440483895,0.0,0.09810976093425985
T cells_PB156,0.0,0.3008709839581249,0.2948460824540024,0.24177721824854898,0.0,0.16250571533932384
T cells_PB157,0.0,0.2289785438555633,0.3227198279167295,0.1357947336578977,0.0,0.3125068945698096
Monocytes_PB158,0.0,0.012247273926623175,0.347175806112015,0.4822607044852452,0.0,0.15831621547611668
Monocytes_PB159,0.0,0.15110777622270727,0.3456343963194617,0.04793952046637106,0.0,0.45531830699145986
NK cells_PB160,0.0,0.0,0.2905985996820011,0.0,0.558722588253105,0.150678812064894
DC_PB161,0.0,0.699997360499583,0.25443896990643206,0.022900481835221188,0.0,0.022663187758763827
T cells_PB162,0.0,0.10433820287014922,0.36265982472849484,0.17475979193974941,0.0,0.3582421804616066
Monocytes_PB163,0.0,0.15915549214181268,0.36689007574931165,0.2591107485955509,0.0,0.2148436835133249
B cells_PB164,0.35121864743472847,0.21177557960624832,0.3045028594235114,0.0,0.0,0.13250291353551194
B cells_PB165,0.023331397591577124,0.20541252462515652,0.3592959996737051,0.011579361893353905,0.0,0.40038071621620747
DC_PB166,0.0,0.8093687765933706,0.1906312234066294,0.0,0.0,0.0
NK cells_PB167,0.0,0.15716374992936707,0.3285291037344146,0.003165244325663241,0.3597032253049121,0.15143867670564298
B cells_PB168,0.09093655669943672,0.13421720084002098,0.36722500185877854,0.05960745681075324,0.0,0.34801378379101044
NK cells_PB169,0.0,0.18653340288132925,0.3484239841116413,0.06622785363538064,0.09415468054389341,0.30466007882775525
Monocytes_PB170,0.0,0.05686160738267145,0.3694238136609862,0.32304893878946883,0.0,0.2506656401668735
DC_PB171,0.0,0.7760089258530769,0.22399107414692304,0.0,0.0,0.0
B cells_PB172,0.0,0.26798297063958026,0.33402657393245627,0.11352120268068157,0.016472566537184586,0.26799668621009726
B cells_PB173,0.5121516780087616,0.03882612223935035,0.30513881053689595,0.0,0.00061905916641127,0.14326433004858094
HSC_PB174,0.0,0.22383200145042156,0.5522481817387933,0.025999199072448152,0.0,0.19792061773833697
T cells_PB175,0.00015026617728514398,0.21849604998627392,0.3534580705936554,0.14628672532384213,0.0,0.28160888791894345
B cells_PB176,0.0258554098600539,0.22822302323877539,0.34190806000767454,0.0794958533684255,0.0,0.3245176535250707
HSC_PB177,0.0,0.11381825277934977,0.7701549266246692,0.022724547158742166,0.00915245273222503,0.08414982070501394
T cells_PB178,0.0,0.18517154526653765,0.4169880617208941,0.15011433345968345,0.05053887633279632,0.19718718322008852
Monocytes_PB179,0.0,0.0,0.3527009380067838,0.5976203052455529,0.0004290052706589308,0.049249751477004305
B cells_PB180,0.06155701221233897,0.22769712208337992,0.3480094630934087,0.0,0.0,0.3627364026108724
HSC_PB181,0.0,0.18466979010566464,0.569973400108731,0.07136459353203752,0.014267241711184101,0.15972497454238282
T cells_PB182,0.21051921130483667,0.14937886958186533,0.3538120063058996,0.23201267968176822,0.047291441259985204,0.00698579186564511
HSC_PB183,0.006214633782687764,0.18949997793270396,0.7225885774455509,0.0,0.058513608505118955,0.02318320233393836
T cells_PB184,0.0,0.07334212730970303,0.3849796957234023,0.020104588163376805,0.0,0.5215735888035179
HSC_PB185,0.0,0.11123056420802153,0.5121335014829558,0.11906467408724772,0.0,0.2575712602217749
B cells_PB186,0.5205636545093537,0.005102648634089107,0.3354417457033387,0.0,0.0,0.13889195115321862
T cells_PB187,0.0,0.11465490485518508,0.3491239578961498,0.0,0.0,0.536221137248665
DC_PB188,0.0,0.76044446930006,0.20973241985752109,0.0,0.0,0.029823110842418767
DC_PB189,0.0,0.7431010101442607,0.202655250304485,0.039756858763566556,0.0,0.014486880787687674
Monocytes_PB190,0.0,0.13288489462164502,0.3745896991749927,0.08709414732129607,0.010934043844782162,0.394497215037284
DC_PB191,0.0,0.48484755838995536,0.2854633778373705,0.042022563972867966,0.0,0.18766649979980615
Monocytes_PB192,0.0,0.014724973789570609,0.34518737703904084,0.5689302225628063,0.0,0.0711574266085822
B cells_PB193,0.6521237866944616,0.0,0.2834305307954122,0.0,0.0,0.06444568251012618
Monocytes_PB194,0.0,0.03437060613096154,0.3758598208470387,0.36614626499518044,0.0,0.2236233080268193
Monocytes_PB195,0.0,0.07990651142143432,0.36593916037494745,0.11166572332432681,0.0,0.4424886048792914
