"","NK cells","T cells","Monocytes","B cells"
"B cells_PB84",0.253473253290635,0.0667874904529398,0.403569864275485,0.276169391980941
"Monocytes_PB85",0.1631758951299,0,0.688558091805911,0.148266013064189
"T cells_PB86",0.203816586598387,0,0.681860946698795,0.114322466702818
"Monocytes_PB87",0.0680072293005305,0,0.92382893064492,0.00816384005454948
"Monocytes_PB88",0.0587303788213865,0,0.884601842236655,0.0566677789419585
"Monocytes_PB89",0.0380829853175533,0,0.961917014682447,0
"Monocytes_PB90",0.107382092413684,0,0.8286024878131,0.0640154197732167
"NK cells_PB91",0.313617882188206,0.000852151601354016,0.504497315488176,0.181032650722264
"Monocytes_PB92",0.0598873486524211,0,0.931305837339655,0.0088068140079242
"B cells_PB93",0.0953415209730615,0,0.134114763315425,0.770543715711514
"T cells_PB94",0.233929816717597,0,0.560445290715187,0.205624892567216
"B cells_PB95",0.0705531625325874,0,0.137983032903606,0.791463804563807
"NK cells_PB96",0.57877912656003,0,0.218420350241035,0.202800523198935
"Monocytes_PB97",0.124150381769063,0,0.859214541959834,0.0166350762711037
"B cells_PB98",0.155970142503775,0,0.335854624480703,0.508175233015522
"B cells_PB99",0.26749354269186,0.0837539906929915,0.474025219820602,0.174727246794546
"T cells_PB100",0.22667824011623,0,0.699848720993096,0.0734730388906742
"Monocytes_PB101",0.271105333905523,0.21316944275335,0.357700008197393,0.158025215143734
"T cells_PB102",0.274598520712782,0.0896233457772677,0.52615089842634,0.109627235083611
"T cells_PB103",0.315374073297932,0,0.543298057188697,0.141327869513371
"Monocytes_PB104",0.128749972934193,0,0.857147466213027,0.0141025608527795
"B cells_PB105",0.0681546260681501,0,0.0690161163777014,0.862829257554148
"NK cells_PB106",0.347452149615166,0,0.50108433079686,0.151463519587974
"B cells_PB107",0.241661887254122,0,0.257885630870426,0.500452481875452
"NK cells_PB108",0.80935145053971,0.000637064628154385,0.158823942273284,0.0311875425588513
"B cells_PB109",0.164887412601571,0,0.448930110211392,0.386182477187037
"NK cells_PB110",0.298648308850337,0.0392529321396968,0.484474762504872,0.177623996505095
"Monocytes_PB111",0.153406866392768,0,0.684134812596391,0.162458321010841
"Monocytes_PB112",0.222546227972599,0.0815906367198252,0.533639235669955,0.162223899637621
"Monocytes_PB113",0.0344790462072634,0,0.965520953792737,0
"B cells_PB114",0.104352505846653,0,0.157966523184204,0.737680970969143
"T cells_PB115",0.282321206423294,0,0.485595608427321,0.232083185149386
"Monocytes_PB116",0.0415414999530949,0,0.958458500046905,0
"NK cells_PB117",0.854525933276368,0,0.127786897166838,0.0176871695567937
"Monocytes_PB118",0.242544171053138,0.108196618601659,0.531162923587533,0.11809628675767
"NK cells_PB119",0.88207415245309,0,0.102569229110772,0.015356618436138
"B cells_PB120",0.0991873272395401,0,0.313217555699933,0.587595117060527
"Monocytes_PB121",0.0724680676653459,0,0.927531932334654,0
"T cells_PB122",0.217294603608272,0.344937883282915,0.337938273799981,0.0998292393088315
"NK cells_PB123",0.462653744206509,0.0242460278569985,0.406731328713934,0.106368899222559
"T cells_PB124",0.211094124782427,0,0.71766183150786,0.0712440437097134
"NK cells_PB125",0.333799622608745,0,0.511299394964408,0.154900982426847
"NK cells_PB126",0.528120673032545,0,0.404347183541571,0.0675321434258842
"B cells_PB127",0.06503633608386,0,0.130817418919321,0.804146244996819
"NK cells_PB128",0.777890626272498,0,0.216433772506443,0.00567560122105866
"T cells_PB129",0.232463802601027,0,0.701237805573101,0.0662983918258719
